,Country,Languages,Region,Population,Capital,Currencies
0,Cyprus,"ell, tur",Europe,1207361,Nicosia,EUR
1,Eritrea,"ara, eng, tir",Africa,5352000,Asmara,ERN
2,Liberia,eng,Africa,5057677,Monrovia,LRD
3,Bermuda,eng,Americas,63903,Hamilton,BMD
4,Vatican City,"ita, lat",Europe,451,Vatican City,EUR
5,Cook Islands,"eng, rar",Oceania,18100,Avarua,"CKD, NZD"
6,Somalia,"ara, som",Africa,15893219,Mogadishu,SOS
7,Zambia,eng,Africa,18383956,Lusaka,ZMW
8,Venezuela,spa,Americas,28435943,Caracas,VES
9,Turkmenistan,"rus, tuk",Asia,6031187,Ashgabat,TMT
10,Albania,sqi,Europe,2837743,Tirana,ALL
11,Croatia,hrv,Europe,4047200,Zagreb,EUR
12,United Kingdom,eng,Europe,67215293,London,GBP
13,Sudan,"ara, eng",Africa,43849269,Khartoum,SDG
14,Timor-Leste,"por, tet",Asia,1318442,Dili,USD
15,Republic of the Congo,"fra, kon, lin",Africa,5657000,Brazzaville,XAF
16,Azerbaijan,aze,Asia,10110116,Baku,AZN
17,Kenya,"eng, swa",Africa,53771300,Nairobi,KES
18,American Samoa,"eng, smo",Oceania,55197,Pago Pago,USD
19,Ivory Coast,fra,Africa,26378275,Yamoussoukro,XOF
20,Senegal,fra,Africa,16743930,Dakar,XOF
21,Vietnam,vie,Asia,97338583,Hanoi,VND
22,El Salvador,spa,Americas,6486201,San Salvador,USD
23,Afghanistan,"prs, pus, tuk",Asia,40218234,Kabul,AFN
24,Saint Martin,fra,Americas,38659,Marigot,EUR
25,Latvia,lav,Europe,1901548,Riga,EUR
26,Guatemala,spa,Americas,16858333,Guatemala City,GTQ
27,Kuwait,ara,Asia,4270563,Kuwait City,KWD
28,São Tomé and Príncipe,por,Africa,219161,São Tomé,STN
29,Kyrgyzstan,"kir, rus",Asia,6591600,Bishkek,KGS
30,Poland,pol,Europe,37950802,Warsaw,PLN
31,Guam,"cha, eng, spa",Oceania,168783,Hagåtña,USD
32,Ghana,eng,Africa,31072945,Accra,GHS
33,Lithuania,lit,Europe,2794700,Vilnius,EUR
34,Armenia,hye,Asia,2963234,Yerevan,AMD
35,Jersey,"eng, fra, nrf",Europe,100800,Saint Helier,"GBP, JEP"
36,Grenada,eng,Americas,112519,St. George's,XCD
37,Tajikistan,"rus, tgk",Asia,9537642,Dushanbe,TJS
38,Ethiopia,amh,Africa,114963583,Addis Ababa,ETB
39,Western Sahara,"ber, mey, spa",Africa,510713,El Aaiún,"DZD, MAD, MRU"
40,Morocco,"ara, ber",Africa,36910558,Rabat,MAD
41,Puerto Rico,"eng, spa",Americas,3194034,San Juan,USD
42,Christmas Island,eng,Oceania,2072,Flying Fish Cove,AUD
43,New Zealand,"eng, mri, nzs",Oceania,5084300,Wellington,NZD
44,Brunei,msa,Asia,437483,Bandar Seri Begawan,"BND, SGD"
45,French Guiana,fra,Americas,254541,Cayenne,EUR
46,Niue,"eng, niu",Oceania,1470,Alofi,NZD
47,Romania,ron,Europe,19286123,Bucharest,RON
48,Svalbard and Jan Mayen,nor,Europe,2562,Longyearbyen,NOK
49,Belarus,"bel, rus",Europe,9398861,Minsk,BYN
50,Panama,spa,Americas,4314768,Panama City,"PAB, USD"
51,Cameroon,"eng, fra",Africa,26545864,Yaoundé,XAF
52,Czechia,"ces, slk",Europe,10698896,Prague,CZK
53,Saint Barthélemy,fra,Americas,4255,Gustavia,EUR
54,Greece,ell,Europe,10715549,Athens,EUR
55,Mali,fra,Africa,20250834,Bamako,XOF
56,Martinique,fra,Americas,378243,Fort-de-France,EUR
57,France,fra,Europe,67391582,Paris,EUR
58,Pakistan,"eng, urd",Asia,220892331,Islamabad,PKR
59,Peru,"aym, que, spa",Americas,32971846,Lima,PEN
60,Barbados,eng,Americas,287371,Bridgetown,BBD
61,Greenland,kal,Americas,56367,Nuuk,DKK
62,Saint Pierre and Miquelon,fra,Americas,6069,Saint-Pierre,EUR
63,Chad,"ara, fra",Africa,16425859,N'Djamena,XAF
64,Hungary,hun,Europe,9749763,Budapest,HUF
65,Comoros,"ara, fra, zdj",Africa,869595,Moroni,KMF
66,Bangladesh,ben,Asia,164689383,Dhaka,BDT
67,Tokelau,"eng, smo, tkl",Oceania,1411,Fakaofo,NZD
68,Fiji,"eng, fij, hif",Oceania,896444,Suva,FJD
69,China,zho,Asia,1402112000,Beijing,CNY
70,Colombia,spa,Americas,50882884,Bogotá,COP
71,British Virgin Islands,eng,Americas,30237,Road Town,USD
72,Algeria,ara,Africa,44700000,Algiers,DZD
73,Maldives,div,Asia,540542,Malé,MVR
74,Malaysia,"eng, msa",Asia,32365998,Kuala Lumpur,MYR
75,Cayman Islands,eng,Americas,65720,George Town,KYD
76,Spain,"spa, cat, eus, glc",Europe,47351567,Madrid,EUR
